order_id,customer_id,product_id,quantity,order_date
74,34,6,4,2026-04-20 15:58:15
75,55,18,1,2025-09-07 15:58:15
76,10,29,2,2026-04-17 15:58:15
77,5,27,3,2026-05-06 15:58:15
78,71,5,4,2025-09-15 15:58:15
79,6,10,3,2025-08-01 15:58:15
80,46,7,2,2026-06-18 15:58:15
81,14,12,4,2026-05-25 15:58:15
82,20,30,2,2025-10-03 15:58:15
83,23,29,4,2025-07-24 15:58:15
84,23,24,3,2026-02-07 15:58:15
85,32,9,2,2026-07-06 15:58:15
86,14,13,1,2026-03-09 15:58:15
87,29,7,4,2026-01-07 15:58:15
88,40,27,2,2025-11-03 15:58:15
89,4,22,2,2026-02-01 15:58:15
90,43,9,1,2025-12-01 15:58:15
91,45,21,4,2026-06-24 15:58:15
92,69,11,1,2025-09-09 15:58:15
93,34,6,3,2025-07-31 15:58:15
94,14,20,4,2026-01-04 15:58:15
95,41,14,1,2026-01-25 15:58:15
96,74,7,3,2025-08-03 15:58:15
97,56,1,2,2026-01-14 15:58:15
98,56,3,3,2026-05-27 15:58:15
99,41,22,1,2025-12-12 15:58:15
100,65,10,4,2025-12-26 15:58:15
101,52,23,3,2026-04-21 15:58:15
102,17,7,4,2026-06-17 15:58:15
103,49,22,2,2026-05-23 15:58:15
104,73,10,4,2026-04-18 15:58:15
105,1,10,3,2025-10-27 15:58:15
106,56,26,3,2026-03-07 15:58:15
107,57,15,2,2026-03-30 15:58:15
108,61,26,2,2026-06-14 15:58:15
109,11,10,3,2025-08-28 15:58:15
110,31,22,3,2025-11-04 15:58:15
111,26,5,1,2025-08-04 15:58:15
112,32,16,1,2026-03-02 15:58:15
113,54,29,2,2026-07-03 15:58:15
114,50,16,4,2025-11-13 15:58:15
115,19,21,1,2025-09-04 15:58:15
116,55,8,2,2026-07-03 15:58:15
117,67,15,1,2026-04-23 15:58:15
118,32,30,1,2026-03-02 15:58:15
119,18,26,4,2026-06-18 15:58:15
120,888,25,4,2026-05-21 15:58:15
121,65,14,4,2025-10-01 15:58:15
122,61,15,3,2025-11-15 15:58:15
123,36,25,4,2026-05-28 15:58:15
124,31,9,4,2025-08-20 15:58:15
125,37,8,3,2025-12-30 15:58:15
126,41,29,1,2025-09-20 15:58:15
127,20,8,4,2026-07-02 15:58:15
128,20,23,2,2025-08-13 15:58:15
129,54,14,3,2026-04-15 15:58:15
130,60,14,1,2025-10-25 15:58:15
131,54,13,1,2026-05-02 15:58:15
132,49,16,1,2026-01-08 15:58:15
133,39,25,4,2026-02-11 15:58:15
134,69,24,2,2026-03-18 15:58:15
135,29,9,4,2026-03-17 15:58:15
136,4,13,3,2026-06-19 15:58:15
137,52,24,2,2026-03-08 15:58:15
138,17,20,1,2026-01-29 15:58:15
139,76,19,1,2025-08-23 15:58:15
140,55,5,4,2025-10-13 15:58:15
141,7,9,4,2025-12-26 15:58:15
142,28,15,3,2025-12-31 15:58:15
143,49,9,4,2025-11-18 15:58:15
144,11,16,1,2026-04-14 15:58:15
145,7,12,2,2026-06-09 15:58:15
146,9,25,1,2025-07-27 15:58:15
147,32,7,1,2026-05-26 15:58:15
148,20,8,2,2026-03-11 15:58:15
149,15,19,2,2026-03-07 15:58:15
150,33,25,3,2025-10-05 15:58:15
151,78,20,1,2025-10-03 15:58:15
152,40,4,1,2025-12-18 15:58:15
153,74,22,4,2026-01-31 15:58:15
154,26,3,2,2025-09-02 15:58:15
155,39,28,1,2026-04-27 15:58:15
156,6,12,4,2026-06-15 15:58:15
157,48,3,3,2025-07-18 15:58:15
158,54,27,4,2025-09-04 15:58:15
159,56,12,4,2025-09-28 15:58:15
160,56,6,3,2026-05-23 15:58:15
161,69,25,4,2026-03-07 15:58:15
162,56,27,3,2025-12-24 15:58:15
163,32,27,1,2025-12-01 15:58:15
164,58,8,4,2026-04-29 15:58:15
165,79,22,4,2025-12-31 15:58:15
166,4,16,3,2025-10-13 15:58:15
167,63,7,3,2025-11-21 15:58:15
168,44,9,3,2026-04-22 15:58:15
169,2,17,2,2025-08-24 15:58:15
170,31,24,4,2026-03-19 15:58:15
171,72,25,2,2026-06-30 15:58:15
172,61,21,4,2026-02-26 15:58:15
173,3,3,3,2025-11-02 15:58:15
174,52,23,2,2025-12-15 15:58:15
175,75,12,4,2026-04-21 15:58:15
176,68,12,4,2026-04-19 15:58:15
177,43,12,4,2025-11-27 15:58:15
178,40,9,2,2025-09-11 15:58:15
179,25,11,1,2026-04-12 15:58:15
180,24,7,2,2026-03-16 15:58:15
181,36,24,3,2025-09-01 15:58:15
182,25,10,2,2026-01-12 15:58:15
183,23,10,1,2026-04-11 15:58:15
184,17,9,1,2025-08-08 15:58:15
185,71,10,2,2026-06-03 15:58:15
186,63,4,1,2026-05-01 15:58:15
187,37,16,4,2026-02-22 15:58:15
188,44,6,1,2025-11-18 15:58:15
189,62,4,1,2026-02-02 15:58:15
190,63,3,1,2025-09-27 15:58:15
191,20,26,3,2025-08-24 15:58:15
192,32,4,4,2026-05-18 15:58:15
193,77,26,2,2026-04-05 15:58:15
194,49,15,4,2025-12-11 15:58:15
195,76,14,3,2026-04-29 15:58:15
196,80,2,1,2025-10-26 15:58:15
197,28,9,1,2025-09-30 15:58:15
198,31,6,1,2025-09-30 15:58:15
199,1,14,4,2026-06-29 15:58:15
200,77,16,3,2025-07-28 15:58:15
201,30,10,3,2026-08-26 15:58:15
202,59,3,2,2025-11-24 15:58:15
203,76,22,2,2026-02-14 15:58:15
204,15,18,2,2026-06-08 15:58:15
205,20,30,3,2025-09-22 15:58:15
206,10,2,2,2025-12-16 15:58:15
207,77,24,3,2026-02-21 15:58:15
208,16,15,3,2026-07-05 15:58:15
209,52,9,4,2026-02-21 15:58:15
210,11,555,1,2026-02-18 15:58:15
211,42,20,3,2025-07-25 15:58:15
212,12,8,1,2026-06-21 15:58:15
213,35,19,1,2025-10-09 15:58:15
214,61,17,4,2025-12-01 15:58:15
215,24,19,4,2026-06-02 15:58:15
216,63,3,4,2026-01-06 15:58:15
217,53,11,3,2026-06-20 15:58:15
218,14,28,2,2025-12-27 15:58:15
219,53,23,4,2025-12-06 15:58:15
220,52,27,1,2026-03-01 15:58:15
221,12,11,3,2025-12-24 15:58:15
222,15,25,4,2026-04-01 15:58:15
223,1,22,4,2026-02-08 15:58:15
224,7,7,3,2026-05-26 15:58:15
225,64,21,4,2025-08-07 15:58:15
226,27,9,2,2025-12-06 15:58:15
227,57,29,4,2025-09-12 15:58:15
228,4,21,2,2025-10-01 15:58:15
229,40,18,1,2026-04-20 15:58:15
230,53,3,2,2025-09-08 15:58:15
231,60,4,2,2026-03-24 15:58:15
232,38,17,3,2026-02-09 15:58:15
233,62,16,2,2026-03-02 15:58:15
234,71,5,4,2025-10-17 15:58:15
235,77,17,2,2025-08-16 15:58:15
236,36,25,4,2026-01-02 15:58:15
237,65,9,1,2025-12-03 15:58:15
238,39,27,4,2025-09-26 15:58:15
239,58,18,4,2026-01-04 15:58:15
240,43,18,4,2026-03-02 15:58:15
241,42,28,2,2026-07-04 15:58:15
242,31,19,4,2025-11-08 15:58:15
243,53,2,3,2026-03-11 15:58:15
244,49,13,2,2026-03-22 15:58:15
245,5,5,3,2025-09-01 15:58:15
246,57,4,4,2025-07-19 15:58:15
247,19,14,2,2025-08-19 15:58:15
248,61,26,3,2026-01-01 15:58:15
249,80,23,4,2026-06-09 15:58:15
250,11,28,3,2026-06-22 15:58:15
251,69,13,3,2026-05-28 15:58:15
252,63,28,1,2026-05-24 15:58:15
253,9,8,3,2025-11-05 15:58:15
254,12,14,1,2026-06-01 15:58:15
255,13,15,2,2026-07-02 15:58:15
256,39,29,1,2025-08-04 15:58:15
257,42,26,1,2025-12-09 15:58:15
258,46,12,4,2025-09-24 15:58:15
259,32,17,4,2026-04-27 15:58:15
260,24,6,2,2025-08-21 15:58:15
261,79,28,4,2026-05-25 15:58:15
262,31,16,2,2025-11-07 15:58:15
263,60,21,3,2026-03-04 15:58:15
264,33,22,1,2026-03-07 15:58:15
265,37,22,2,2025-08-18 15:58:15
266,57,12,3,2026-06-04 15:58:15
267,55,23,3,2026-03-02 15:58:15
268,39,7,4,2026-03-16 15:58:15
269,14,8,4,2026-04-30 15:58:15
270,46,19,3,2026-07-05 15:58:15
271,38,1,4,2025-11-29 15:58:15
272,2,19,1,2026-05-18 15:58:15
273,64,27,3,2025-11-06 15:58:15
274,78,26,3,2025-11-01 15:58:15
275,25,20,3,2026-06-24 15:58:15
276,18,21,1,2026-05-29 15:58:15
277,6,10,4,2025-07-29 15:58:15
278,75,12,2,2025-08-27 15:58:15
279,38,11,4,2025-10-09 15:58:15
280,26,5,3,2026-04-09 15:58:15
281,65,30,3,2025-10-04 15:58:15
282,33,30,4,2025-12-10 15:58:15
283,44,26,1,2026-03-08 15:58:15
284,10,5,2,2026-06-23 15:58:15
285,51,28,3,2025-08-27 15:58:15
286,51,1,3,2026-04-12 15:58:15
287,16,15,3,2026-06-21 15:58:15
288,34,19,4,2026-06-03 15:58:15
289,48,4,2,2026-03-10 15:58:15
290,4,20,3,2026-05-20 15:58:15
291,29,21,1,2026-06-02 15:58:15
292,60,30,3,2026-06-09 15:58:15
293,53,4,2,2025-08-04 15:58:15
294,5,10,4,2025-09-09 15:58:15
295,13,8,2,2026-01-26 15:58:15
296,59,12,4,2026-05-08 15:58:15
297,20,29,4,2026-06-12 15:58:15
298,13,27,4,2026-05-23 15:58:15
299,53,9,1,2026-06-30 15:58:15
300,48,7,4,2026-02-24 15:58:15
301,31,28,3,2025-08-31 15:58:15
302,48,18,3,2025-08-12 15:58:15
303,51,9,2,2025-09-12 15:58:15
304,59,3,2,2026-06-05 15:58:15
305,77,1,1,2025-12-29 15:58:15
306,32,5,2,2025-08-16 15:58:15
307,71,7,2,2025-11-08 15:58:15
308,43,25,2,2026-05-13 15:58:15
309,1,9,2,2025-09-16 15:58:15
310,70,9,2,2025-09-06 15:58:15
311,4,5,1,2026-01-11 15:58:15
312,31,19,3,2025-07-20 15:58:15
313,23,9,1,2025-09-14 15:58:15
314,54,17,1,2025-08-13 15:58:15
315,61,15,3,2026-03-31 15:58:15
316,76,4,4,2026-03-26 15:58:15
317,29,20,1,2026-06-14 15:58:15
318,67,10,4,2026-06-06 15:58:15
319,4,2,4,2026-02-02 15:58:15
320,55,22,1,2026-03-20 15:58:15
321,57,3,1,2025-12-23 15:58:15
322,78,5,1,2025-09-14 15:58:15
323,36,20,3,2026-01-23 15:58:15
324,77,17,3,2026-03-01 15:58:15
325,65,20,4,2025-08-31 15:58:15
326,15,28,2,2026-02-17 15:58:15
327,58,29,2,2026-02-08 15:58:15
328,44,27,4,2026-02-01 15:58:15
329,54,24,1,2025-12-19 15:58:15
330,55,11,3,2026-01-19 15:58:15
331,20,22,4,2025-08-15 15:58:15
332,12,27,1,2025-08-28 15:58:15
333,56,4,3,2025-09-16 15:58:15
334,72,2,3,2026-06-20 15:58:15
335,16,14,3,2026-06-17 15:58:15
336,55,28,1,2025-12-06 15:58:15
337,77,10,3,2025-09-03 15:58:15
338,74,17,2,2025-09-29 15:58:15
339,62,8,1,2026-01-07 15:58:15
340,72,12,1,2025-12-01 15:58:15
341,74,8,4,2026-04-25 15:58:15
342,80,20,1,2026-05-19 15:58:15
343,35,1,2,2025-11-28 15:58:15
344,40,30,3,2026-01-07 15:58:15
345,1,6,2,2026-04-27 15:58:15
346,52,3,2,2026-06-01 15:58:15
347,4,3,2,2026-01-20 15:58:15
348,54,15,3,2025-09-30 15:58:15
349,48,10,3,2026-04-28 15:58:15
350,77,3,1,2025-09-29 15:58:15
