"Customer ID","Order ID",Sales
AS-10240,CA-2014-149958,142.78
RB-19465,CA-2016-115917,1049.20
CB-12025,CA-2015-146563,999.43
SP-20545,CA-2016-123666,459.95
TH-21235,CA-2017-132682,381.58
GT-14635,US-2017-168116,7999.98
BN-11470,CA-2014-138527,166.84
DP-13165,CA-2014-112158,883.92
MP-17965,CA-2016-142335,1652.94
EG-13900,US-2016-150861,542.65
DS-13030,CA-2017-131954,242.94
NB-18655,CA-2016-140928,383.44
LH-17020,CA-2015-114923,107.98
CS-12250,CA-2014-162775,646.74
LE-16810,CA-2016-157245,641.96
JK-15730,CA-2016-105256,1363.96
RA-19915,CA-2014-134313,1983.97
PJ-19015,CA-2017-143686,1399.93
CA-12775,CA-2014-140858,1228.47
PK-18910,CA-2016-158099,1141.47
SM-20005,CA-2014-148488,106.34
HP-14815,CA-2017-111689,1242.90
BE-11335,CA-2017-137596,1928.78
AH-10075,CA-2016-149797,841.57
CG-12040,CA-2016-140081,447.70
RW-19630,CA-2016-142958,1114.27
RB-19795,US-2017-110576,2065.32
GH-14665,CA-2017-136539,78.85
BS-11800,CA-2017-135279,501.81
BW-11110,CA-2017-159366,3059.98
TZ-21580,CA-2014-163419,603.92
AS-10630,CA-2017-100314,336.51
MW-18235,CA-2014-117639,2715.93
RH-19495,CA-2015-124891,2309.65
JS-15880,US-2015-126214,1618.37
KM-16225,CA-2015-108665,601.65
EL-13735,CA-2016-113061,86.62
MO-17500,CA-2016-102981,722.35
DW-13540,CA-2017-132521,119.96
BT-11395,CA-2015-110016,1106.91
KD-16270,US-2016-143819,4899.93
BT-11485,CA-2015-165085,355.96
EH-13945,US-2016-110156,100.70
CS-12355,CA-2015-142755,619.95
DB-13060,CA-2014-128146,1322.93
BT-11530,CA-2017-117212,892.22
LS-16945,CA-2016-114727,854.35
LH-16750,CA-2017-133235,271.96
SW-20755,CA-2016-137050,579.14
SP-20620,US-2017-118087,1931.96
NP-18700,CA-2014-168494,3610.85
DJ-13630,CA-2017-115602,1704.56
JR-15700,CA-2017-117079,863.88
JC-16105,US-2014-167738,292.27
TR-21325,CA-2016-160815,278.40
JH-16180,CA-2015-138898,845.73
CS-12460,US-2017-126179,287.97
LW-16825,CA-2014-160773,575.92
MC-17575,CA-2017-167703,285.55
CM-12115,CA-2017-100524,677.58
AB-10600,US-2017-155425,899.14
JR-15670,US-2015-103471,590.06
CA-12265,CA-2015-120362,912.75
CK-12760,US-2017-117247,652.45
SV-20815,CA-2015-126697,946.34
IM-15070,CA-2014-120768,1819.86
JE-15745,CA-2015-139731,2453.43
MC-17425,CA-2016-133711,3040.00
DK-12835,CA-2017-139199,872.94
NG-18430,CA-2017-130386,540.05
PC-19000,CA-2015-153388,1004.98
MC-17845,CA-2017-148446,1669.60
CL-11890,CA-2017-121888,782.94
PC-18745,CA-2014-150245,1573.49
BO-11425,CA-2017-158386,124.75
SG-20470,US-2017-102890,1044.63
JO-15550,CA-2015-132101,453.58
MC-18100,CA-2014-101602,763.28
NP-18325,CA-2015-131338,1217.57
PL-18925,US-2016-113509,83.98
JC-15385,CA-2017-108560,786.48
JG-15160,CA-2015-157084,1265.85
FH-14365,CA-2015-111829,3149.93
HH-15010,CA-2014-135699,109.92
CD-12280,US-2017-132444,169.68
RB-19645,CA-2016-107615,58.58
AW-10840,CA-2017-143798,310.88
ND-18370,CA-2015-114069,1931.04
MM-18055,US-2017-124968,765.63
BN-11515,CA-2016-169943,454.90
FM-14215,US-2017-164056,1048.35
LH-17155,US-2016-131149,338.04
DP-13000,CA-2015-105347,368.91
RP-19855,CA-2015-154326,699.98
RP-19390,CA-2014-120474,2807.84
MR-17545,US-2017-139465,347.97
JA-15970,CA-2017-158379,4663.74
GK-14620,US-2016-116729,2575.94
PB-19210,CA-2016-164938,69.93
FO-14305,CA-2014-132612,1441.30
CH-12070,CA-2016-109344,1127.98
BS-11755,CA-2014-103373,779.80
SL-20155,CA-2017-145884,1439.92
AS-10045,CA-2017-162691,1439.98
NH-18610,CA-2017-122693,1245.86
DA-13450,US-2017-158512,40.08
RK-19300,CA-2015-160472,831.20
NC-18625,US-2016-100839,727.45
ME-18010,CA-2014-116932,801.57
EH-14005,CA-2014-140165,398.35
AC-10450,CA-2017-141789,1793.98
RA-19945,CA-2014-169775,505.18
MD-17860,CA-2017-154410,909.12
AC-10615,CA-2017-157987,1282.41
AS-10225,CA-2014-110408,1394.95
CB-12415,CA-2016-147417,1439.98
AS-10090,CA-2015-127509,1024.38
JW-15955,CA-2017-163510,304.45
SC-20800,CA-2015-155761,159.98
GP-14740,CA-2015-117961,104.90
TP-21130,CA-2017-120376,1586.69
BF-11080,CA-2017-140676,94.85
SG-20080,CA-2015-164882,1295.84
TS-21085,US-2017-168690,2.81
TS-21160,US-2016-152051,422.06
CJ-12010,CA-2016-128818,3999.95
IL-15100,CA-2017-143063,1454.49
LT-17110,US-2014-165659,881.93
ML-17410,CA-2014-125556,832.93
MH-17620,CA-2017-130841,1145.60
DB-13405,CA-2017-157091,526.45
JH-15820,CA-2017-132122,228.92
TG-21310,CA-2016-146633,1016.79
BF-11005,CA-2017-103380,659.98
TS-21610,CA-2017-105214,1212.96
MZ-17335,CA-2015-117611,371.97
AA-10375,CA-2016-131065,499.98
JL-15850,CA-2015-142944,1119.98
VD-21670,CA-2015-113145,1399.93
MO-17800,CA-2017-157931,723.92
SC-20260,CA-2015-111514,1552.83
CP-12340,US-2014-148838,1579.75
SG-20605,US-2015-127040,1619.91
MG-18145,CA-2017-108574,1115.91
TB-21595,CA-2016-156300,754.45
ML-18040,CA-2017-168655,595.00
LC-16930,CA-2016-107202,2396.40
PJ-18835,CA-2015-154746,826.11
AF-10870,CA-2016-146934,662.84
MK-18160,CA-2017-128755,571.44
CM-11935,US-2016-135923,451.14
PF-19225,CA-2016-114972,1101.48
KN-16705,CA-2017-126067,1137.75
TB-21250,CA-2015-141040,631.96
JM-15865,CA-2014-144624,4548.81
SC-20575,CA-2014-136644,647.84
KL-16645,CA-2014-143917,8187.65
AW-10930,CA-2016-136812,1117.92
KW-16570,CA-2015-102722,106.50
PB-19105,CA-2014-128888,604.66
CD-12790,CA-2016-124352,868.59
DL-13495,US-2017-117723,1801.63
EM-13810,CA-2015-113404,1348.70
NB-18580,CA-2014-164385,143.95
JC-15775,CA-2016-118626,705.54
TM-21010,CA-2015-147788,1406.86
SF-20200,CA-2017-123967,2665.62
CM-12235,CA-2016-155845,1399.94
EN-13780,CA-2016-165848,1349.85
MC-17590,CA-2014-127446,1218.74
AG-10300,CA-2014-147298,230.28
TA-21385,CA-2017-127180,11199.97
JF-15295,US-2017-110604,220.96
TT-21265,CA-2015-162369,323.10
SB-20170,CA-2017-108441,858.24
SH-19975,US-2016-146794,424.96
DG-13300,CA-2017-123372,1979.89
RR-19525,CA-2014-126403,1325.85
SM-20320,CA-2014-145317,22638.48
JD-16015,CA-2017-156818,132.60
CC-12145,CA-2015-121797,1919.98
SK-19990,CA-2017-119193,629.96
FH-14350,CA-2017-104801,799.96
CS-11950,US-2014-141257,585.55
GA-14515,CA-2015-155306,1447.65
JP-16135,CA-2016-146171,481.32
RW-19690,CA-2017-167752,1924.16
MO-17950,US-2015-122140,50.12
KN-16450,CA-2014-154599,1075.09
JS-15595,CA-2016-153318,783.96
CK-12325,US-2014-125521,1139.92
BG-11695,US-2016-162852,845.49
SN-20560,CA-2017-152093,762.59
DM-13345,CA-2017-157854,2690.97
DJ-13510,CA-2016-128594,1603.14
TD-20995,US-2016-167339,1013.49
EB-13975,US-2016-164630,959.97
TH-21550,US-2017-120390,1633.19
AY-10555,CA-2017-137428,97.18
RC-19960,US-2014-112872,275.49
JB-16045,CA-2016-139269,1267.65
MC-17635,CA-2016-139010,449.15
CR-12730,CA-2017-116519,904.90
SR-20425,CA-2017-134845,2549.99
JB-16000,CA-2017-124674,327.73
BP-11230,CA-2015-135174,1022.97
TC-21475,CA-2017-121419,411.80
SW-20350,CA-2016-128517,517.90
ML-17755,US-2017-120089,663.94
YC-21895,CA-2014-119375,2934.33
JG-15310,CA-2017-119578,695.16
MS-17770,CA-2016-150350,837.60
CC-12100,CA-2014-136399,627.17
CS-11845,CA-2017-131828,963.14
NF-18385,CA-2015-147830,2025.36
KC-16675,CA-2016-138695,390.27
BM-11650,CA-2017-152912,1633.14
FH-14275,CA-2017-104640,931.18
DW-13195,US-2016-127971,318.43
SJ-20215,CA-2017-113355,317.06
PS-19045,CA-2017-133865,3359.95
GM-14695,CA-2014-102988,4164.05
TS-21505,CA-2014-134551,662.88
PR-18880,US-2017-109253,568.73
AR-10510,CA-2016-147536,89.97
TB-21280,CA-2016-134887,1287.45
MG-17650,CA-2014-166471,1091.17
DE-13255,CA-2015-153381,1408.10
JD-16150,CA-2017-168858,2504.74
EM-13825,CA-2017-114258,492.77
CC-12610,CA-2014-124688,1202.94
RH-19600,CA-2015-157322,435.50
CA-12055,CA-2016-107328,513.02
JK-16120,CA-2016-150945,900.08
MG-17875,CA-2015-124975,796.43
PO-18865,CA-2014-120838,604.75
RD-19660,CA-2017-103877,1577.94
JK-15640,CA-2017-168109,2395.20
MT-17815,CA-2016-104157,2430.08
MH-18115,CA-2017-121839,1169.69
RB-19330,CA-2014-159835,657.93
ST-20530,CA-2014-163559,139.44
SC-20770,CA-2017-112529,718.12
BC-11125,CA-2017-113530,681.41
AJ-10945,CA-2017-133004,638.73
MF-17665,US-2014-169789,551.99
KH-16630,CA-2015-109575,1259.93
RM-19750,CA-2017-168193,71.97
VM-21835,CA-2016-115476,129.98
JJ-15760,CA-2015-103205,119.96
KB-16585,CA-2014-153913,1013.83
CM-12160,CA-2016-155530,2003.52
KL-16555,CA-2017-147760,1359.96
ZD-21925,CA-2016-152471,823.96
HG-14845,CA-2017-141873,314.35
CC-12685,CA-2015-140984,991.20
MY-18295,CA-2014-105984,1049.97
JF-15355,CA-2015-132486,842.35
SP-20860,US-2016-163881,1684.75
VT-21700,CA-2015-167010,563.81
LS-17230,CA-2015-118955,197.37
MH-17455,US-2016-143448,1424.90
MG-17695,US-2016-142685,835.17
DK-12895,CA-2015-105627,860.93
CC-12220,CA-2016-145730,637.90
JM-15655,US-2016-108777,383.95
KE-16420,US-2015-166520,599.90
SM-20950,CA-2014-122931,1801.63
DK-12985,CA-2014-163034,646.20
NP-18685,CA-2015-156104,999.98
SC-20680,US-2015-164308,821.94
LH-16900,US-2014-156559,638.82
KW-16435,CA-2015-102491,3080.00
SC-20095,CA-2014-116904,9449.95
TS-21340,CA-2015-153416,454.86
JL-15835,CA-2014-127299,2624.99
PV-18985,CA-2017-105914,1575.14
HL-15040,CA-2017-166709,10499.97
MA-17560,CA-2015-143105,799.98
AM-10705,CA-2014-145387,1604.90
NC-18535,CA-2017-149881,4799.98
LS-16975,CA-2017-117702,1049.20
SJ-20500,CA-2016-157336,751.92
EP-13915,US-2016-131611,956.66
BS-11365,US-2016-107440,9099.93
AT-10435,CA-2017-102407,896.33
PO-18850,CA-2017-129021,4367.90
AH-10585,CA-2014-162278,383.96
AB-10165,CA-2015-115945,304.23
MM-17260,CA-2016-120355,631.78
MV-17485,CA-2017-169894,415.87
RO-19780,CA-2015-155600,1598.06
RR-19315,CA-2017-162565,520.46
NC-18340,CA-2017-111332,704.76
BT-11305,CA-2014-166954,1487.04
CD-11920,CA-2017-111556,1259.97
GZ-14470,CA-2016-131737,971.50
BF-10975,CA-2016-100041,314.55
JB-15400,CA-2017-132339,387.99
TB-21355,CA-2017-159464,302.94
AP-10915,CA-2016-168893,842.94
DK-13375,US-2016-111290,965.85
KA-16525,CA-2017-168641,321.57
BD-11620,CA-2017-130211,333.09
CC-12670,CA-2017-112753,917.92
GW-14605,CA-2017-155075,631.18
ND-18460,CA-2017-107167,1347.52
MB-17305,CA-2016-118759,408.01
AB-10255,CA-2017-126662,479.98
AG-10765,CA-2015-110947,113.10
NL-18310,US-2017-163790,590.35
MC-18130,CA-2016-129868,902.71
RM-19675,CA-2017-145219,2879.95
JF-15565,CA-2016-102162,1599.92
HA-14905,CA-2017-130141,579.14
Co-12640,CA-2015-147501,558.40
DB-13360,CA-2016-139556,434.65
SV-20785,CA-2015-112130,844.12
MV-18190,CA-2016-127698,863.93
GB-14530,CA-2016-159912,241.92
WB-21850,CA-2017-138149,895.92
LT-16765,US-2015-122910,201.58
MP-18175,CA-2014-119151,1117.92
Dl-13600,CA-2016-120530,658.75
GT-14755,CA-2015-105725,61.06
JD-16060,CA-2017-168123,221.16
RE-19450,CA-2015-151589,239.90
EB-14110,CA-2016-121370,1199.98
MC-17275,CA-2014-107818,975.92
PB-19150,CA-2015-137526,464.85
TT-21070,CA-2017-122490,2404.70
TB-21175,CA-2017-143567,2249.91
RF-19345,CA-2016-163167,1263.30
CA-12310,CA-2017-120936,481.32
MC-17605,US-2014-161613,674.06
BM-11575,CA-2016-160304,231.98
BD-11605,CA-2014-157147,1325.85
JR-16210,CA-2015-142202,717.12
CL-12700,CA-2016-149279,1325.76
HG-14965,US-2017-122714,1889.99
KS-16300,CA-2017-155824,48.78
SC-20695,CA-2015-158659,714.30
Dp-13240,CA-2015-169796,2321.90
LR-17035,CA-2015-102876,791.96
TH-21100,CA-2014-153850,1502.38
JE-15475,CA-2016-133795,772.47
HR-14770,CA-2015-103954,687.40
DD-13570,US-2014-104759,79.98
AH-10465,CA-2015-141243,1352.40
SC-20380,CA-2017-142090,1781.68
BK-11260,US-2014-140452,214.95
GM-14500,CA-2015-127173,629.93
DM-13015,CA-2014-160766,2799.96
FP-14320,CA-2016-111213,1317.49
JL-15175,CA-2017-128734,842.38
GH-14410,CA-2017-163006,1001.58
TS-21430,CA-2014-111192,1367.84
LA-16780,CA-2016-122903,3504.90
JD-15790,CA-2015-134719,1801.63
EH-14125,US-2015-154389,748.75
ZC-21910,CA-2015-115567,1516.20
AA-10315,CA-2016-103982,3930.07
LS-17200,CA-2014-115084,605.34
EC-14050,US-2016-169369,249.95
KT-16465,CA-2014-146283,966.70
TM-21490,CA-2017-108791,543.92
AH-10690,CA-2016-113831,2275.50
NC-18415,CA-2017-131254,1525.19
DV-13465,CA-2015-146486,899.95
JK-15325,US-2014-168501,267.96
JM-15580,CA-2016-136021,105.55
GR-14560,US-2014-123183,1025.88
HF-14995,CA-2016-117681,556.67
ML-18265,CA-2017-132262,79.98
NM-18520,CA-2016-153598,1649.95
EH-14185,CA-2016-167115,588.78
DH-13675,CA-2014-105249,411.33
KC-16255,US-2016-138408,1319.96
MS-17980,CA-2017-117667,255.97
JK-16090,CA-2017-160885,2479.96
JE-15610,CA-2017-133263,2999.95
SU-20665,CA-2017-157966,959.98
RF-19840,CA-2016-136686,383.64
VP-21730,CA-2017-105333,546.06
JP-15460,CA-2016-158001,1040.80
PP-18955,CA-2014-126683,2348.82
GM-14440,CA-2014-154893,1325.76
AJ-10795,CA-2017-142342,1194.17
AH-10120,CA-2016-145261,377.45
RD-19585,CA-2014-164315,1049.93
NW-18400,US-2015-160857,2799.94
VG-21805,CA-2014-103191,331.54
DR-12880,CA-2015-103933,899.91
JP-15520,CA-2017-117324,1089.75
LC-17050,CA-2016-118514,866.40
HG-15025,CA-2014-163748,1999.96
BW-11065,CA-2015-119634,46.15
JP-16135,US-2016-111528,481.32
SC-20440,CA-2015-103835,1158.12
EA-14035,CA-2015-158939,599.99
BP-11290,CA-2016-142398,638.29
MG-18205,CA-2017-115070,12.32
LD-17005,CA-2014-124856,1395.54
LS-17245,CA-2014-124730,279.96
CS-12175,CA-2017-117632,285.48
KB-16405,CA-2017-161067,419.40
RF-19735,CA-2015-111206,519.96
MS-17530,CA-2015-108119,301.96
RS-19420,US-2014-117968,1133.35
MA-17995,CA-2016-152247,1603.14
EB-13705,CA-2016-128223,1293.49
FG-14260,CA-2014-152443,447.86
EH-13765,CA-2016-136301,4912.59
PF-19120,US-2015-126977,4228.70
GD-14590,CA-2017-150420,1099.50
RA-19885,US-2014-118997,1215.92
VG-21790,CA-2016-151092,211.17
BD-11770,CA-2017-115105,240.78
SV-20935,CA-2017-116953,552.00
ES-14020,US-2017-163300,2357.49
NS-18640,CA-2016-162187,458.43
CL-12565,CA-2015-135580,2548.56
KF-16285,CA-2016-159016,4158.91
FA-14230,CA-2017-122364,859.20
BF-11215,CA-2016-154662,692.94
RA-19285,CA-2015-111780,1199.96
CC-12430,CA-2017-166695,518.27
SV-20365,CA-2017-100111,2888.13
SP-20920,CA-2016-124590,1537.07
CM-12655,US-2016-113677,2279.96
EH-13990,CA-2016-124100,328.00
TB-21190,CA-2014-163447,767.21
AO-10810,CA-2016-148096,161.28
GA-14725,CA-2014-131247,205.67
AC-10660,CA-2016-161928,201.58
EK-13795,CA-2014-111871,1198.33
NZ-18565,US-2014-106299,838.38
GB-14575,CA-2015-158421,1690.04
JM-15535,CA-2016-157259,799.56
CM-12445,CA-2016-133697,56.69
YS-21880,CA-2017-119809,2793.53
JF-15490,CA-2015-133445,291.17
JF-15415,US-2017-142188,1471.96
LO-17170,CA-2017-141572,247.44
NF-18595,US-2015-139675,915.14
ME-17725,CA-2017-143756,701.96
AJ-10780,CA-2014-141313,1737.18
TP-21565,CA-2016-163328,650.35
NG-18355,CA-2017-120019,579.51
TS-21370,CA-2017-143112,5199.96
BF-11275,CA-2017-161130,361.38
CK-12205,CA-2017-110443,1039.99
GM-14455,CA-2017-151981,824.95
CC-12370,CA-2016-143714,8399.98
SH-20395,CA-2014-165764,945.04
DB-13270,CA-2016-163804,2079.40
NR-18550,CA-2017-140872,503.96
JW-16075,CA-2015-120621,962.08
SS-20515,CA-2015-103135,279.86
VW-21775,CA-2017-128265,1247.64
LD-16855,CA-2016-152331,5.30
AR-10540,CA-2017-138289,5443.96
CA-11965,CA-2016-157791,1999.96
GT-14710,CA-2014-128209,4007.84
VF-21715,CA-2014-113880,634.12
EB-13750,CA-2015-166947,1522.64
CT-11995,CA-2014-166086,872.32
BP-11050,CA-2016-160535,563.40
EJ-13720,CA-2017-123085,1049.44
CP-12085,US-2017-167402,4164.05
TB-21400,CA-2014-145541,6999.96
SS-20590,CA-2016-166275,199.99
MB-18085,CA-2017-144498,627.17
DL-13330,CA-2015-109337,393.54
JF-15190,US-2016-155103,415.18
BV-11245,CA-2015-156734,643.14
KB-16600,CA-2017-159156,629.95
TC-21145,CA-2017-124205,512.96
RL-19615,CA-2016-144764,1362.90
SJ-20215,CA-2017-100615,317.06
PT-19090,US-2016-152373,93.46
GH-14425,CA-2014-144414,3266.38
TC-20980,CA-2016-118689,17499.95
FC-14335,CA-2017-107517,1640.70
JO-15145,US-2016-100461,1565.88
MF-18250,US-2017-162670,494.97
SC-20230,US-2016-126452,2887.06
MM-17920,US-2016-121013,1652.94
TW-21025,CA-2015-137113,2003.92
BD-11320,CA-2015-120677,2567.84
SS-20140,CA-2017-164756,411.98
VS-21820,US-2015-165512,602.65
HR-14830,US-2017-135013,2399.96
SH-20635,CA-2014-124247,1403.92
MS-17710,CA-2015-134257,491.55
RD-19900,CA-2016-140382,862.34
RD-19930,CA-2015-139248,623.96
HM-14980,CA-2015-129917,503.96
AR-10570,CA-2016-157588,51.75
KN-16390,CA-2015-154823,598.46
CS-11860,CA-2014-124618,479.98
RS-19765,CA-2014-106726,1261.33
AR-10825,CA-2017-118724,1626.19
CD-11980,CA-2017-144596,318.96
SG-20890,CA-2016-144337,19.65
LW-16990,US-2016-102239,1685.88
TT-21460,CA-2017-141439,1879.96
SS-20875,CA-2015-163965,290.35
MH-17290,US-2017-141558,776.85
AG-10330,CA-2017-142909,182.55
HK-14890,US-2017-141677,2399.96
JM-15250,CA-2017-128853,908.82
VB-21745,CA-2016-120369,756.80
LC-16870,CA-2015-150770,339.96
ES-14080,CA-2017-127397,1319.80
TP-21415,CA-2017-118892,4416.17
BP-11155,CA-2015-158491,989.97
TC-21535,CA-2016-157217,389.97
PW-19240,CA-2015-162782,2541.98
AG-10525,CA-2014-158281,559.71
MN-17935,CA-2017-100097,979.95
SC-20050,US-2014-131275,1856.19
JK-15625,CA-2015-113152,843.90
DV-13045,CA-2017-168389,721.88
AR-10345,US-2014-115189,523.76
AG-10270,CA-2016-105732,1336.44
DB-12970,CA-2016-110975,866.65
DM-12955,CA-2014-141649,795.41
MG-17890,CA-2017-121125,156.79
RD-19810,CA-2017-127474,419.40
SJ-20125,CA-2017-105669,1415.76
LL-16840,CA-2015-137974,1196.86
EM-14140,CA-2016-139997,1499.95
PM-19135,US-2015-134558,2249.91
BS-11380,US-2017-112347,906.68
KH-16330,CA-2014-140396,833.94
AF-10885,CA-2014-114181,349.97
RB-19570,US-2016-104815,198.74
PN-18775,CA-2016-138597,563.94
AT-10735,CA-2015-123113,2625.12
KH-16690,CA-2014-163223,3499.93
DB-13210,CA-2016-158778,887.27
BS-11665,CA-2016-101791,1297.37
KH-16360,US-2017-158526,1207.84
DL-12925,US-2014-115196,1299.99
DB-13120,CA-2015-101889,1548.99
DR-12940,US-2016-140158,5399.91
KM-16375,CA-2014-133592,1687.80
SD-20485,CA-2015-120782,3812.97
AA-10480,CA-2016-114601,479.97
CK-12595,CA-2017-100902,431.16
BB-11545,US-2017-118941,1779.90
LB-16735,CA-2017-154088,26.72
CS-12505,CA-2016-108196,4499.99
ER-13855,CA-2016-162236,876.30
MG-17680,US-2017-109316,1497.67
DP-13390,CA-2016-138478,4535.98
CW-11905,CA-2017-152436,592.74
CV-12295,US-2014-137869,1184.72
AG-10390,CA-2014-158470,71.28
JK-15205,CA-2015-125976,1871.88
DB-12910,CA-2016-101672,915.14
DC-12850,CA-2017-128363,1614.58
RD-19720,CA-2016-149762,268.70
SR-20740,CA-2017-165323,3404.50
PO-19195,CA-2015-110891,344.37
EM-14200,CA-2017-167549,298.12
RW-19540,CA-2017-166093,2518.29
KD-16345,CA-2015-145814,861.76
GG-14650,CA-2017-131807,435.17
JS-15685,CA-2017-104864,389.06
SF-20065,CA-2014-113383,254.90
CR-12580,US-2017-105998,1673.18
AA-10645,CA-2015-110863,1323.90
DM-13525,CA-2015-132465,772.68
CM-11815,CA-2017-121489,572.58
RH-19510,CA-2016-169663,3357.60
SB-20185,CA-2015-149846,2973.32
CR-12820,CA-2017-159149,438.34
EB-13930,US-2017-106551,526.34
LP-17080,CA-2016-116722,451.15
CS-12490,CA-2016-118073,562.29
NK-18490,CA-2016-102561,284.08
AZ-10750,CA-2016-100993,557.73
RB-19360,CA-2017-140151,13999.96
MS-17830,CA-2016-131296,239.37
PG-18820,CA-2016-103464,595.00
JJ-15445,CA-2015-120915,307.98
SS-20410,CA-2015-119879,1252.70
KD-16495,CA-2015-114811,4643.80
BG-11035,CA-2015-141565,1369.76
PF-19165,CA-2016-162355,1266.86
BW-11200,CA-2014-109897,806.34
CS-12400,CA-2016-133816,743.99
LP-17095,CA-2017-121790,2003.17
JE-15715,CA-2016-169670,2563.06
BD-11725,CA-2017-146192,675.06
SZ-20035,CA-2015-154284,637.44
GZ-14545,US-2017-167318,1649.95
BG-11740,CA-2017-135419,486.37
BD-11500,US-2017-105935,2939.93
TS-21655,CA-2017-147207,913.43
JL-15235,CA-2017-137631,751.98
MH-17440,CA-2016-163048,241.50
EJ-14155,CA-2016-142594,901.95
BD-11635,CA-2015-110814,232.40
HE-14800,CA-2017-140480,174.95
ON-18715,CA-2016-130820,630.02
NP-18670,CA-2017-150091,2154.90
AI-10855,CA-2014-131387,1679.96
TH-21115,CA-2016-125087,1554.94
IG-15085,CA-2015-101000,370.14
AS-10285,US-2016-164196,2678.94
BF-11020,CA-2015-145758,1035.80
SE-20110,CA-2016-158841,8749.95
AB-10150,CA-2014-169061,479.97
DO-13645,CA-2017-118003,302.94
KB-16315,CA-2017-147354,479.98
PM-18940,CA-2016-102092,1056.86
DC-13285,CA-2015-117884,447.94
DJ-13420,CA-2016-123540,1454.90
DP-13105,CA-2016-162390,968.74
BT-11680,CA-2014-121629,998.85
CM-12190,CA-2017-146164,607.52
KB-16240,CA-2017-162015,1287.45
BT-11440,CA-2014-151946,353.57
OT-18730,CA-2016-107783,1369.76
JM-16195,CA-2014-160094,826.00
RH-19555,CA-2016-164574,704.76
HZ-14950,CA-2017-124765,723.92
CJ-11875,CA-2016-163951,16.52
JS-16030,CA-2017-163265,600.56
JD-15895,CA-2016-143805,2104.55
SP-20650,CA-2016-136770,279.96
TS-21205,CA-2017-119284,2239.94
PW-19030,CA-2017-116988,1287.45
LC-16885,US-2015-163825,3050.38
BF-11170,CA-2016-159891,1270.99
DB-13555,CA-2017-115882,942.78
CM-12715,CA-2015-133585,1228.00
TT-21220,CA-2017-162075,537.54
BP-11095,CA-2014-162992,583.80
VM-21685,US-2016-150140,1294.75
KT-16480,CA-2014-116666,1799.97
AB-10015,CA-2016-140935,341.96
DK-13090,CA-2017-100622,959.98
SW-20455,CA-2015-153423,1217.57
JW-15220,CA-2017-135909,5083.96
CC-12475,CA-2016-158260,686.40
AM-10360,US-2015-107944,239.97
FC-14245,CA-2016-147256,1927.59
LC-16960,CA-2015-111038,2676.67
EM-14095,CA-2015-163237,494.97
CV-12805,US-2016-144057,856.66
DF-13135,CA-2016-168032,1439.97
BP-11185,CA-2017-130036,1119.89
SW-20245,CA-2017-111717,239.36
JL-15130,CA-2017-150910,934.96
JH-15430,CA-2017-105620,120.00
LW-17125,CA-2016-157280,756.80
HM-14860,US-2015-128587,4899.93
VP-21760,CA-2017-159100,1875.26
AB-10105,CA-2016-117121,9892.74
XP-21865,CA-2014-114335,337.09
ML-17395,CA-2016-168830,479.97
